appid,name
5420,Dreamkiller Trailer
5430,Race On Trailer
5450,Dragon Age Origins Wardens Keep Trailer
5460,R.U.S.E. - Pump Fake Strategy Trailer
5470,Modern Warfare 2 Infamy Trailer
5480,Sacred 2 Ice and Blood Trailer
5500,Shattered Horizon Silent Running Trailer
5510,Star Wars Galaxies Trailer
5520,Altitude Trailer 2
5530,Americas Army 3 Full Trailer
5540,Kane & Lynch 2 Burger Joint Trailer
5550,Dragon Age Origins Awakening Trailer
5560,Vancouver 2010 Dutch Trailer
5570,Aliens vs. Predator Classic 2000 Trailer
5580,EverQuest II Sentinels Fate Trailer
5590,Aliens vs. Predator Story Trailer (French)
5600,Metro 2033 3rd Trailer
5610,Supreme Commander 2 Pulinsmash
5620,Settlers 7 Economy Tutorial Trailer
5630,RUSE Open Beta Introduction
5640,Avencast Trailer
5650,Lead and Gold Launch Trailer
5660,Splinter Cell Conviction Multiplayer Part 1
5670,Tomb Raider Legend Trailer
5680,BLUR4_trailer
5690,Sid Meiers Civilization V Teaser
5700,Chrome Trailer 1
5710,Fallout: New Vegas
5720,F.E.A.R. 3 Trailer
5730,eversion Trailer
5740,Homefront Teaser trailer
5750,KL2 Cops Robbers Mode - English (PEGI)
5760,KL2 Fragile Alliance Mode (Spanish)
5770,KL2 Undercover Cop Mode (German)
5780,Numen_Eng
5790,Portal 2 E3 Demo (Suction)
5810,MotorM4X Trailer
5820,Medal of Honor - Announce Long
5830,Burn Zombie Burn Trailer
5840,Lara Croft Guardian of Light Trailer 2 (PEGI)
5850,WMC A Darker Shade
5860,Kane & Lynch 2 - You Think You Can Kill Me (DE)
5870,Dungeon Siege 3 Trailer
5880,Kane & Lynch 2 - Most Notorious Criminals (PEGI) (EN)
5890,Blade Kitten Trailer
5900,Patrician IV Teaser - DE
5910,Call of Duty - Black OPS Multiplayer Teaser
5930,Portal 2 PAX Trailer
5940,MOH - Part 4
5950,Haunted House Trailer 2
5960,Shank Trailer 2
5970,GWEN
5980,Arcania Release Trailer
5990,DOW2 Retribution Trailer
6000,STAR WARS™ Republic Commando
6010,Indiana Jones and the Fate of Atlantis
6020,STAR WARS™ Jedi Knight: Jedi Academy™
6030,STAR WARS™ Jedi Knight II: Jedi Outcast™
6040,The Dig
6060,Star Wars: Battlefront 2 (Classic, 2005)
6080,Thrillville: Off the Rails
6090,Armed and Dangerous
6100,Eets
6110,Eets Demo
6120,Shank
6130,Shank Demo
6200,Ghost Master
6210,Vegas: Make It Big
6220,FlatOut
6230,FlatOut Demo
6250,Making History: The Calm & The Storm
6260,Making History: The Calm & The Storm Demo
6270,Ducati World Championship
6290,Alien Shooter: Vengeance
6300,Dreamfall: The Longest Journey
6310,The Longest Journey
6320,The Longest Journey Demo
6330,Age of Conan: Hyborian Adventures
6340,Age of Conan - Hyborian Adventures
6350,Age of Conan: Rise of the Godslayer
6360,Age of Conan: Rise of the Godslayer
6370,Bloodline Champions
6400,Joint Task Force
6410,Joint Task Force Demo
6420,Nexus: The Jupiter Incident
6510,Lost Planet: Extreme Condition
6520,Lost Planet: Extreme Condition
6530,Lost Planet: Extreme Conditions Demo
6540,Lost Planet: Extreme Conditions DX10 Demo
6550,Devil May Cry 3: Special Edition
6570,Onimusha 3: Demon Siege
6580,Lost Planet: Extreme Condition Trial
6590,Lost Planet: Extreme Condition DirectX10 Trial
6600,Bullet Candy
6610,Bullet Candy Demo
6700,SteamTestApp6700
6720,TestContent
6800,Commandos: Behind Enemy Lines
6810,Commandos: Beyond the Call of Duty
6820,Commandos: Strike Force
6830,Commandos 2: Men of Courage
6840,Commandos 3: Destination Berlin
6850,Hitman 2: Silent Assassin
6860,Hitman: Blood Money
6870,Battlestations: Midway
6880,Just Cause
6900,Hitman: Codename 47
6910,Deus Ex: Game of the Year Edition
6920,Deus Ex: Invisible War
6930,Just Cause Demo
6940,Battlestations: Midway Multiplayer Demo
6950,Hitman: Blood Money Demo
6980,Thief: Deadly Shadows
7000,Tomb Raider: Legend
7010,Project: Snowblind
7020,Rogue Trooper
7030,Tomb Raider: Legend Demo
7050,Project: Snowblind Demo
7060,Infernal
7080,Infernal Demo
7110,Jade Empire: Special Edition
7200,TrackMania United
7210,Runaway: A Road Adventure
7220,Runaway: The Dream of the Turtle
7230,Runaway, The Dream of the Turtle Demo
7240,Sherlock Holmes 2
7250,Sherlock Holmes: The Awakened
7260,Loki
7270,Loki Setup
7280,Loki Egyptian Demo
7290,Sherlock Holmes: The Awakened Demo
7340,Azada
7400,Ricochet: Lost Worlds
7410,Ricochet Lost Worlds Demo
7420,Wik and the Fable of Souls
7430,Wik Demo
7440,Big Kahuna Reef
7450,Ricochet Infinity
7470,Simplz Zoo
7490,Simplz Zoo - Demo
7500,UFO: Afterlight - Old Version
7510,X-Blades
7520,Two Worlds II
7530,Two Worlds II Castle Defense
7600,Sid Meier's Railroads!
7610,Railroad Tycoon 3
7620,Railroad Tycoon 2: Platinum
7630,Sid Meier's Railroads Demo
7650,X-COM: Terror from the Deep
7660,X-COM: Apocalypse
7670,BioShock
7700,BioShock
7710,Bioshock Demo
7730,X-COM: Interceptor
7740,NBA 2K9
7760,X-COM: UFO Defense
7770,X-COM: Enforcer
7780,MLB® Front Office Manager
7790,NBA 2K9 Demo
7800,Stubbs the Zombie in Rebel Without a Pulse
7810,Top Spin 2
7820,Stubbs The Zombie Demo
7830,Men of War
7840,Death Track: Resurrection
7850,Cryostasis
7860,NecroVisioN
7870,1701 A.D.: Gold Edition
7880,1701 A.D.: Sunken Dragon
7890,Men of War - Demo
7900,The Movies
7910,The Movies: Stunts and Effects
7920,The Movies Demo
7930,Call of Duty 4: Modern Warfare Demo
7940,Call of Duty 4: Modern Warfare
7950,Call of Duty 4: Modern Warfare
7970,Cabelas Trophy Bucks
7980,Soldier of Fortune: Payback
7990,Monster Jam
8000,Tomb Raider: Anniversary
8010,Ancient Wars: Sparta
8030,Tomb Raider: Anniversary Demo
8040,Championship Manager 2007
8060,Championship Manager 2008
8070,Championship Manager 2008 Demo
8080,Kane & Lynch: Dead Men
8090,Conflict: Denied Ops Demo
8100,Conflict: Denied Ops
8110,Conflict: Denied Ops
8140,Tomb Raider: Underworld
8150,Tomb Raider: Underworld Demo
8160,Shellshock 2: Blood Trails
8170,Battlestations: Pacific
8180,Battlestations: Pacific - Demo
8190,Just Cause 2
8200,Sam & Max 101: Culture Shock
8210,Sam & Max 102: Situation: Comedy
8220,Sam & Max 103: The Mole, the Mob and the Meatball
8230,Sam & Max 104: Abe Lincoln Must Die!
8240,Sam & Max 105: Reality 2.0
8250,Sam & Max 106: Bright Side of the Moon
8260,Sam & Max 201: Ice Station Santa
8270,Sam & Max 202: Moai Better Blues
8280,Sam & Max 203: Night of the Raving Dead
8290,Sam & Max 204: Chariots of the Dogs
8300,Sam & Max 205: What's New Beelzebub?
8310,Bone: Out from Boneville
8320,Bone: The Great Cow Race
8330,Telltale Texas Hold'Em
8340,Strong Bad Episode 1: Homestar Ruiner
8350,Strong Bad Episode 2: Strong Badia the Free
8360,Strong Bad Episode 3: Baddest of the Bands
8370,Strong Bad Episode 4: Dangeresque 3
8380,Strong Bad Episode 5: 8-Bit Is Enough
8400,Geometry Wars: Retro Evolved
8500,EVE Online
8510,EVE Online Demo
8600,RACE 07
8610,RACE 07 Dedicated Server
8620,Attack on Pearl Harbor
8630,Attack on Pearl Harbor Demo
8640,RACE On
8650,RACE 07: Andy Priaulx Crowne Plaza Raceway
8660,GTR Evolution
8670,RACE 07 Demo - Crowne Plaza Raceway edition
8680,RACE 07 Demo - Crowne Plaza Edition Dedicated Server
8690,STCC: The Game
8700,STCC: The Game Demo
8710,STCC - The Game Demo Dedicated Server
8720,GTR Evolution Demo
8730,GTR Evolution Demo Dedicated Server
8740,Puzzlegeddon
8750,Puzzlegeddon Demo
8760,RACE On - DEMO
8770,RACE On - Demo: Dedicated Server
8790,GTR 2 - FIA GT Racing Game
8800,Sid Meier's Civilization IV: Beyond the Sword
8820,Sid Meier's Civilization IV: Beyond the Sword - Final Frontier Demo
8830,MLB® Front Office Manager
8840,Major League Baseball 2K9
8850,BioShock 2
8870,BioShock Infinite
8880,Freedom Force
8890,Freedom Force vs. the 3rd Reich
8900,Freedom Force - Demo
8910,Freedom Force vs. the 3rd Reich - Demo
8930,Sid Meier's Civilization V
8950,Borderlands
8970,Axel & Pixel
8980,Borderlands
8990,Borderlands DLC: The Zombie Island of Dr. Ned
9000,Wolfenstein 3D: Spear of Destiny
9010,Return to Castle Wolfenstein
9030,Quake Mission Pack 2: Dissolution of Eternity
9040,Quake Mission Pack 1: Scourge of Armagon
9050,DOOM 3
9060,HeXen II
9070,DOOM 3: Resurrection of Evil
9080,Quake III Arena Demo
9090,Quake III: Team Arena Demo
9100,DOOM 3 Demo
9120,Hexen II Demo
9130,Quake II Demo
9160,Master Levels for DOOM II
9180,Commander Keen Complete Pack
9200,RAGE
9240,Rage Authority Pack DLC
9300,Company of Heroes Singleplayer Demo
9310,Warhammer 40,000: Dawn of War - Winter Assault
9320,Dawn of War Demo
9330,Dawn of War Winter Assault Demo
9340,Company of Heroes: Opposing Fronts
9350,Supreme Commander
9360,ValveTestApp9360
9370,Supreme Commander Editor
9400,Juiced 2: Hot Import Nights
9420,Supreme Commander: Forged Alliance
9440,Warhammer 40,000: Dawn of War – Soulstorm Demo
9450,Warhammer 40,000: Dawn of War - Soulstorm
9460,Frontlines: Fuel of War
9480,Saints Row 2
9500,Gish
9510,Gish Demo
9710,Desperados 2: Cooper’s Revenge
9730,Tycoon City: New York
9740,Indigo Prophecy
9760,Act of War: High Treason
9800,Death to Spies
9810,The Witcher: Enhanced Edition
9850,Codename: Panzers - Cold War
9860,The Chronicles of Riddick: Assault on Dark Athena
9870,Ghostbusters: The Video Game
9880,Champions Online
9890,Champions Online: Blood Moon Weekend
9900,Star Trek Online
9910,Star Trek Online - Beta
9920,Star Trek Online - Free Trial
9930,Test Drive Unlimited 2
9940,Blade Kitten
9950,Blade Kitten Demo
9960,Haunted House
9970,Star Raiders 
9980,The UnderGarden
9990,Ghostbusters: Sanctum of Slime
10000,Enemy Territory: Quake Wars
10010,Enemy Territory: QUAKE Wars Demo
10030,Enemy Territory: QUAKE Wars Dedicated Server
10040,The History Channel: Battle for the Pacific
10050,Enemy Territory: QUAKE Wars Demo 2.0
10080,Quantum of Solace
10090,Call of Duty: World at War
10100,King's Quest Collection
10110,Space Quest Collection
10120,Aces of the Galaxy
10130,TimeShift
10140,3D Ultra Minigolf Adventures Deluxe
10150,Prototype
10170,Wolfenstein
10180,Call of Duty: Modern Warfare 2
10190,Call of Duty: Modern Warfare 2 - Multiplayer
10220,Postal 3
10230,Dead Mountaineer's Hotel
10240,Stroke of Fate: Operation Valkyrie
10250,PT Boats: Knights of the Sea
10260,PT Boats: South Gambit
10270,Disciples III: Reincarnation
10400,Sega Rally
10410,Futbol Manager 2008
10420,Worldwide Soccer Manager 2008
10430,Universe at War: Earth Assault
10440,The Golden Compass
10460,The Club
10470,Happy Tree Friends: False Alarm
10480,Football Manager 2008
10490,Iron Man
10500,Empire: Total War
10510,The Incredible Hulk: The Official Videogame
10520,Beijing 2008
10530,Space Siege
10540,Football Manager 2009
10560,Worldwide Soccer Manager 2009
10570,Football Manager 2009 Demo
10590,Football Manager 2009 Korean
10600,Empire: Total War - Special Forces Unit
10620,Empire: Total War Demo
10630,Football Manager Live
10640,Empire: Total War Naval Demo
10650,Stormrise
10660,Stormrise
10680,Aliens vs. Predator
10690,Virtua Tennis 2009
10700,Speedball 2: Tournament
11000,Loki Norse Demo
11020,TrackMania Nations Forever
11040,Sherlock Holmes: Nemesis
11050,Dracula: Origin
11060,Pro Cycling Manager Season 2008
11070,Pro Cycling Manager - Season 2008 Stage Editor
11080,Sherlock Holmes: Nemesis Demo
11090,Dracula: Origin Demo
11120,Pro Cycling Manager Season 2009
11130,Sherlock Holmes: The Mystery of The Mummy
11140,Sherlock Holmes: The Awakened - Remastered
11150,Sherlock Holmes: The Secret of the Silver Earring
11170,Blood Bowl: Dark Elves Edition
11180,Sherlock Holmes: The Mystery of The Persian Carpet
11190,Sherlock Holmes versus Jack the Ripper
11200,Shadowgrounds: Survivor
11210,Alpha Prime Demo
11220,Shadowgrounds Survivor Demo
11230,Gumboy Tournament
11240,Space Trader: Merchant Marine
11250,Pacific Storm
11260,Pacific Storm: Allies
11270,Gumboy Tournament Demo
11280,Penguins Arena: Sedna's World
11330,Obulis
11340,Larva Mortus
11350,Larva Mortus Demo
11360,Chains
11370,Nikopol: Secrets of the Immortals
11390,Crash Time II
11420,Clive Barker's Jericho
11440,DiRT
11450,Overlord
11460,Clive Barker's Jericho Demo
11470,Overlord Demo
11480,Soldiers: Heroes of World War II
11500,ToCA Race Driver 3
11520,Brian Lara International Cricket 2007
11550,Second Sight
11560,Maelstrom
11590,Hospital Tycoon
11600,Counter-Strike Online
11610,Dragon Nest
11900,Lumines
11910,Lumines Demo
11920,Lumines: Advanced Pack
12100,Grand Theft Auto III
12110,Grand Theft Auto: Vice City
12120,Grand Theft Auto: San Andreas
12130,Manhunt
12140,Max Payne
12150,Max Payne 2: The Fall of Max Payne
12160,Midnight Club II
12170,Grand Theft Auto
12180,Grand Theft Auto 2
12190,Wild Metal Country
12200,Bully: Scholarship Edition
12210,Grand Theft Auto IV
12220,Grand Theft Auto: Episodes from Liberty City
12230,Grand Theft Auto III
12240,Grand Theft Auto: Vice City
12250,Grand Theft Auto: San Andreas
12260,Max Payne 2 (RU)
12300,Baseball Mogul 2008
12310,Culpa Innata
12320,Sacred Gold
12330,DarkStar One
12340,Jack Keane
12360,FlatOut: Ultimate Carnage
12370,Jagged Alliance 2: Gold Pack
12380,Jagged Alliance 2 Gold: Unfinished Business
12390,Exodus from the Earth
12400,Baseball Mogul 2009
12420,Perimeter 2: New Earth
12430,SlamIt Pinball: Big Score
12440,Ankh 2: Heart of Osiris
12450,Ankh 3: Battle of the Gods
12460,BC Kings
12470,Port Royale 2
12480,9th Company - Roots of Terror
12500,Puzzle Quest
12510,Prison Tycoon 3: Lockdown
12520,18 Wheels of Steel: American Long Haul
12530,Hunting Unlimited 2008
12540,Mahjongg Investigations: Under Suspicion
12550,Are You Smarter than a 5th Grader?
12560,Ride! Carnival Tycoon
12570,Hot Dish
12580,Dr. Daisy: Pet Vet
12590,Sprint Cars: Road to Knoxville
12600,Midnight Outlaw: 6 Hours to Sun Up
12630,Legend: Hand of God
12640,Drakensang
12650,Fetch It Again
12660,Miss Popularity
12670,Mission Runway
12690,Hunting Unlimited 2010
12710,Overlord: Raising Hell
12720,Turning Point: Fall of Liberty
12750,GRID
12770,Rise of the Argonauts
12790,Damnation
12800,FUEL
12810,Overlord II
12820,Overlord II - Demo
12830,Operation Flashpoint: Dragon Rising
12840,DiRT 2
12850,FUEL - Demo
12860,Ashes Cricket 2009
12880,Operation Flashpoint: Dragon Rising Mission Editor
12890,Operation Flashpoint: Dragon Rising - Demo
12900,Audiosurf
12910,Audiosurf Demo
13000,Ninja Reflex: Steamworks Edition
13010,Ninja Reflex: Steamworks Edition Demo
13120,America's Army 3 Beta
13140,America's Army 3
13180,America's Army 3 Dedicated Server
13200,Unreal II: The Awakening
13210,Unreal Tournament 3: Black Edition
13230,Unreal Tournament 2004
13240,Unreal Tournament: Game of the Year Edition
13250,Unreal Gold
13260,Unreal Development Kit
13500,Prince of Persia: Warrior Within
13510,Tom Clancy's Ghost Recon: Advanced Warfighter 2
13520,Far Cry
13530,Prince of Persia: The Two Thrones
13540,Tom Clancy's Rainbow Six: Vegas
13560,Tom Clancy's Splinter Cell
13570,Tom Clancy's Splinter Cell: Chaos Theory
13580,Tom Clancy's Splinter Cell: Double Agent
13600,Prince of Persia: The Sands of Time
13620,Tom Clancy's Ghost Recon: Desert Siege
13630,Tom Clancy's Ghost Recon: Island Thunder
13640,Tom Clancy's Ghost Recon: Advanced Warfighter
13650,Tom Clancy's Rainbow Six
13660,Tom Clancy's Rainbow Six 2: Rogue Spear
13700,Savage 2: A Tortured Soul
15000,Tom Clancy's Rainbow Six: Lockdown
15060,Rayman 2 - The Great Escape
15080,Rayman: Raving Rabbids
15100,Assassin's Creed
15120,Tom Clancy's Rainbow Six: Vegas 2
15130,Beyond Good & Evil
15140,Petz Dogz 2
15150,Petz Catz 2
15160,Petz Horsez 2
15170,Heroes of Might & Magic V
15190,Brothers in Arms: Road to Hill 30
15200,Silent Hunter: Wolves of the Pacific
15210,Silent Hunter III
15220,Blazing Angels: Squadrons of WWII
15230,Blazing Angels 2: Secret Missions of WWII
15240,Silent Hunter: Wolves of the Pacific U-Boat Missions
15260,Chessmaster: Grandmaster Edition
15270,Cold Fear
15280,Pacific Fighters
15290,Lost: Via Domus
15300,Tom Clancy's Ghost Recon
15310,The Settlers: Heritage of Kings
15320,IL-2 Sturmovik: 1946
15330,The Settlers: Rise of an Empire
15350,Brain Spa
15360,Call of Juarez: DirectX 10
15370,Heroes of Might & Magic V: Tribes of the East
15380,Heroes of Might & Magic V: Hammers of Fate
15390,Brothers in Arms: Hell's Highway
15400,Harvest: Massive Encounter
15500,The Wonderful End of the World
15510,The Wonderful End of the World Demo
15520,AaAaAA!!! - A Reckless Disregard for Gravity
15530,AaaaaAAaaaAAAaaAAAAaAAAAA!!! -- A Reckless Disregard for Gravity - Demo
15540,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)
15550,1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby) - Demo
15560,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome
15620,Warhammer 40,000: Dawn of War II
15640,Warhammer® 40,000™: Dawn of War® II (Press Build)
15660,Warhammer® 40,000™: Dawn of War® II - BETA
15680,Warhammer® 40,000™: Dawn of War® II - Single Player Demo
15700,Oddworld: Abe's Oddysee
